cbo_2002,descricao,familia,descricao_familia,subgrupo,descricao_subgrupo,subgrupo_principal,descricao_subgrupo_principal,grande_grupo,descricao_grande_grupo,indicador_cbo_2002_ativa
010105,Oficial General Da Aeronáutica,0101,Oficiais generais das forças armadas,010,Membros Das Forças Armadas                                                                                                        ,01,Membros Das Forças Armadas                                                                                                        ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
010110,Oficial General Do Exército,0101,Oficiais generais das forças armadas,010,Membros Das Forças Armadas                                                                                                        ,01,Membros Das Forças Armadas                                                                                                        ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
010115,Oficial General Da Marinha,0101,Oficiais generais das forças armadas,010,Membros Das Forças Armadas                                                                                                        ,01,Membros Das Forças Armadas                                                                                                        ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
010210,Oficial Do Exército,0102,Oficiais das forças armadas,010,Membros Das Forças Armadas                                                                                                        ,01,Membros Das Forças Armadas                                                                                                        ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
010205,Oficial Da Aeronáutica,0102,Oficiais das forças armadas,010,Membros Das Forças Armadas                                                                                                        ,01,Membros Das Forças Armadas                                                                                                        ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
010215,Oficial Da Marinha,0102,Oficiais das forças armadas,010,Membros Das Forças Armadas                                                                                                        ,01,Membros Das Forças Armadas                                                                                                        ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
010305,Praça Da Aeronáutica,0103,Praças das forças armadas,010,Membros Das Forças Armadas                                                                                                        ,01,Membros Das Forças Armadas                                                                                                        ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
010310,Praça Do Exército,0103,Praças das forças armadas,010,Membros Das Forças Armadas                                                                                                        ,01,Membros Das Forças Armadas                                                                                                        ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
010315,Praça Da Marinha,0103,Praças das forças armadas,010,Membros Das Forças Armadas                                                                                                        ,01,Membros Das Forças Armadas                                                                                                        ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
020110,Tenente-Coronel Da Polícia Militar,0201,Oficiais superiores da polícia militar,020,Oficiais De Polícia Militar                                                                                                       ,02,Policiais Militares                                                                                                               ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
020115,Major Da Polícia Militar,0201,Oficiais superiores da polícia militar,020,Oficiais De Polícia Militar                                                                                                       ,02,Policiais Militares                                                                                                               ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
020105,Coronel Da Polícia Militar,0201,Oficiais superiores da polícia militar,020,Oficiais De Polícia Militar                                                                                                       ,02,Policiais Militares                                                                                                               ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
020205,Capitão Da Polícia Militar,0202,Capitães da  polícia militar,020,Oficiais De Polícia Militar                                                                                                       ,02,Policiais Militares                                                                                                               ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
020310,Segundo Tenente De Polícia Militar,0203,Tenentes da polícia militar,020,Oficiais De Polícia Militar                                                                                                       ,02,Policiais Militares                                                                                                               ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
020305,Primeiro Tenente De Polícia Militar,0203,Tenentes da polícia militar,020,Oficiais De Polícia Militar                                                                                                       ,02,Policiais Militares                                                                                                               ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
021105,Subtenente Da Policia Militar,0211,Subtenentes e sargentos da policia militar,021,Praças De Polícia Militar                                                                                                         ,02,Policiais Militares                                                                                                               ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
021110,Sargento Da Policia Militar,0211,Subtenentes e sargentos da policia militar,021,Praças De Polícia Militar                                                                                                         ,02,Policiais Militares                                                                                                               ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
021205,Cabo Da Polícia Militar,0212,Cabos e soldados da polícia militar,021,Praças De Polícia Militar                                                                                                         ,02,Policiais Militares                                                                                                               ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
021210,Soldado Da Polícia Militar,0212,Cabos e soldados da polícia militar,021,Praças De Polícia Militar                                                                                                         ,02,Policiais Militares                                                                                                               ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
030110,Major Bombeiro Militar,0301,Oficiais superiores do corpo de bombeiros militar,030,Oficiais De Bombeiro Militar                                                                                                      ,03,Bombeiros Militares                                                                                                               ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
030115,Tenente-Coronel Bombeiro Militar,0301,Oficiais superiores do corpo de bombeiros militar,030,Oficiais De Bombeiro Militar                                                                                                      ,03,Bombeiros Militares                                                                                                               ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
030105,Coronel Bombeiro Militar,0301,Oficiais superiores do corpo de bombeiros militar,030,Oficiais De Bombeiro Militar                                                                                                      ,03,Bombeiros Militares                                                                                                               ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
030205,Capitão Bombeiro Militar,0302,Oficiais intermediários do corpo de bombeiros militar,030,Oficiais De Bombeiro Militar                                                                                                      ,03,Bombeiros Militares                                                                                                               ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
030305,Tenente Do Corpo De Bombeiros Militar,0303,Tenentes do corpo de bombeiros militar,030,Oficiais De Bombeiro Militar                                                                                                      ,03,Bombeiros Militares                                                                                                               ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
031105,Subtenente Bombeiro Militar,0311,Subtenentes e sargentos do corpo de bombeiros militar,031,Praças De Bombeiro Militar                                                                                                        ,03,Bombeiros Militares                                                                                                               ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
031110,Sargento Bombeiro Militar,0311,Subtenentes e sargentos do corpo de bombeiros militar,031,Praças De Bombeiro Militar                                                                                                        ,03,Bombeiros Militares                                                                                                               ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
031205,Cabo Bombeiro Militar,0312,Cabos e soldados do corpo de bombeiros militar,031,Praças De Bombeiro Militar                                                                                                        ,03,Bombeiros Militares                                                                                                               ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
031210,Soldado Bombeiro Militar,0312,Cabos e soldados do corpo de bombeiros militar,031,Praças De Bombeiro Militar                                                                                                        ,03,Bombeiros Militares                                                                                                               ,0,"Membros Das Forças Armadas, Policiais E Bombeiros Militares                                                                       ",1
111110,Deputado Federal,1111,Legisladores,111,"Membros Superiores Do Poder Legislativo, Executivo E Judiciário                                                                   ",11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
111105,Senador,1111,Legisladores,111,"Membros Superiores Do Poder Legislativo, Executivo E Judiciário                                                                   ",11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
111120,Vereador,1111,Legisladores,111,"Membros Superiores Do Poder Legislativo, Executivo E Judiciário                                                                   ",11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
111115,Deputado Estadual E Distrital,1111,Legisladores,111,"Membros Superiores Do Poder Legislativo, Executivo E Judiciário                                                                   ",11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
111250,Prefeito,1112,Dirigentes gerais da administração pública,111,"Membros Superiores Do Poder Legislativo, Executivo E Judiciário                                                                   ",11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
111230,Governador De Estado,1112,Dirigentes gerais da administração pública,111,"Membros Superiores Do Poder Legislativo, Executivo E Judiciário                                                                   ",11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
111220,Secretário - Executivo,1112,Dirigentes gerais da administração pública,111,"Membros Superiores Do Poder Legislativo, Executivo E Judiciário                                                                   ",11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
111255,Vice-Prefeito,1112,Dirigentes gerais da administração pública,111,"Membros Superiores Do Poder Legislativo, Executivo E Judiciário                                                                   ",11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
111225,Membro Superior Do Poder Executivo,1112,Dirigentes gerais da administração pública,111,"Membros Superiores Do Poder Legislativo, Executivo E Judiciário                                                                   ",11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
111245,Vice-Governador Do Distrito Federal,1112,Dirigentes gerais da administração pública,111,"Membros Superiores Do Poder Legislativo, Executivo E Judiciário                                                                   ",11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
111205,Presidente Da República,1112,Dirigentes gerais da administração pública,111,"Membros Superiores Do Poder Legislativo, Executivo E Judiciário                                                                   ",11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
111235,Governador Do Distrito Federal,1112,Dirigentes gerais da administração pública,111,"Membros Superiores Do Poder Legislativo, Executivo E Judiciário                                                                   ",11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
111240,Vice-Governador De Estado,1112,Dirigentes gerais da administração pública,111,"Membros Superiores Do Poder Legislativo, Executivo E Judiciário                                                                   ",11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
111215,Ministro De Estado,1112,Dirigentes gerais da administração pública,111,"Membros Superiores Do Poder Legislativo, Executivo E Judiciário                                                                   ",11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
111210,Vice-Presidente Da República,1112,Dirigentes gerais da administração pública,111,"Membros Superiores Do Poder Legislativo, Executivo E Judiciário                                                                   ",11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
111320,Ministro Do  Superior Tribunal Do Trabalho,1113,Magistrados,111,"Membros Superiores Do Poder Legislativo, Executivo E Judiciário                                                                   ",11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
111335,Juiz Auditor Federal - Justiça Militar,1113,Magistrados,111,"Membros Superiores Do Poder Legislativo, Executivo E Judiciário                                                                   ",11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
111315,Ministro Do  Superior Tribunal Militar,1113,Magistrados,111,"Membros Superiores Do Poder Legislativo, Executivo E Judiciário                                                                   ",11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
111340,Juiz Auditor Estadual - Justiça Militar,1113,Magistrados,111,"Membros Superiores Do Poder Legislativo, Executivo E Judiciário                                                                   ",11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
111345,Juiz Do Trabalho,1113,Magistrados,111,"Membros Superiores Do Poder Legislativo, Executivo E Judiciário                                                                   ",11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
111325,Juiz De Direito,1113,Magistrados,111,"Membros Superiores Do Poder Legislativo, Executivo E Judiciário                                                                   ",11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
111310,Ministro Do Superior Tribunal De Justiça,1113,Magistrados,111,"Membros Superiores Do Poder Legislativo, Executivo E Judiciário                                                                   ",11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
111330,Juiz Federal,1113,Magistrados,111,"Membros Superiores Do Poder Legislativo, Executivo E Judiciário                                                                   ",11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
111305,Ministro Do Supremo Tribunal Federal,1113,Magistrados,111,"Membros Superiores Do Poder Legislativo, Executivo E Judiciário                                                                   ",11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
111415,Dirigente Do Serviço Público Municipal,1114,Dirigentes do serviço público,111,"Membros Superiores Do Poder Legislativo, Executivo E Judiciário                                                                   ",11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
111405,Dirigente Do Serviço Público Federal,1114,Dirigentes do serviço público,111,"Membros Superiores Do Poder Legislativo, Executivo E Judiciário                                                                   ",11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
111410,Dirigente Do Serviço Público Estadual E Distrital,1114,Dirigentes do serviço público,111,"Membros Superiores Do Poder Legislativo, Executivo E Judiciário                                                                   ",11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
111510,Analista De Planejamento E Orçamento - Apo,1115,Gestores públicos,111,"Membros Superiores Do Poder Legislativo, Executivo E Judiciário                                                                   ",11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
111505,Especialista De Políticas Públicas E Gestão Governamental - Eppgg,1115,Gestores públicos,111,"Membros Superiores Do Poder Legislativo, Executivo E Judiciário                                                                   ",11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
113005,Cacique,1130,"Dirigentes de povos indígenas, de quilombolas e caiçaras",113,Chefes De Pequenas Populações                                                                                                     ,11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
113010,Líder De Comunidade Caiçara,1130,"Dirigentes de povos indígenas, de quilombolas e caiçaras",113,Chefes De Pequenas Populações                                                                                                     ,11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
113015,Membro De Liderança Quilombola,1130,"Dirigentes de povos indígenas, de quilombolas e caiçaras",113,Chefes De Pequenas Populações                                                                                                     ,11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
114105,Dirigente De Partido Político,1141,Dirigentes de partidos políticos,114,Dirigentes E Administradores De Organização De Interesse Público                                                                  ,11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
114205,Dirigente De Entidade De Trabalhadores,1142,Dirigentes e administradores de entidades patronais e dos trabalhadores e de outros interesses sócioeconômicos,114,Dirigentes E Administradores De Organização De Interesse Público                                                                  ,11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
114210,Dirigente De Entidade Patronal,1142,Dirigentes e administradores de entidades patronais e dos trabalhadores e de outros interesses sócioeconômicos,114,Dirigentes E Administradores De Organização De Interesse Público                                                                  ,11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
114305,Dirigente E Administrador De Organização Religiosa,1143,Dirigentes e administradores de entidades religiosas,114,Dirigentes E Administradores De Organização De Interesse Público                                                                  ,11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
114405,Dirigente E Administrador De Organização Da Sociedade Civil Sem Fins Lucrativos,1144,Dirigentes e administradores de organizações da sociedade civil sem fins lucrativos,114,Dirigentes E Administradores De Organização De Interesse Público                                                                  ,11,Membros Superiores E Dirigentes Do Poder Público                                                                                  ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
121010,Diretor Geral De Empresa E Organizações (Exceto De Interesse Público),1210,Diretores gerais,121,Diretores Gerais                                                                                                                  ,12,Dirigentes De Empresas E Organizações (Exceto De Interesse Público)                                                               ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
121005,Diretor De Planejamento Estratégico,1210,Diretores gerais,121,Diretores Gerais                                                                                                                  ,12,Dirigentes De Empresas E Organizações (Exceto De Interesse Público)                                                               ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
122120,Diretor De Produção E Operações Em Empresa Pesqueira,1221,"Diretores de produção e operações em empresa agropecuária, pesqueira , aqüícola e florestal",122,Diretores De Produção E Operações                                                                                                 ,12,Dirigentes De Empresas E Organizações (Exceto De Interesse Público)                                                               ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
122105,Diretor De Produção E Operações Em Empresa Agropecuária,1221,"Diretores de produção e operações em empresa agropecuária, pesqueira , aqüícola e florestal",122,Diretores De Produção E Operações                                                                                                 ,12,Dirigentes De Empresas E Organizações (Exceto De Interesse Público)                                                               ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
122110,Diretor De Produção E Operações Em Empresa Aqüícola,1221,"Diretores de produção e operações em empresa agropecuária, pesqueira , aqüícola e florestal",122,Diretores De Produção E Operações                                                                                                 ,12,Dirigentes De Empresas E Organizações (Exceto De Interesse Público)                                                               ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
122115,Diretor De Produção E Operações Em Empresa Florestal,1221,"Diretores de produção e operações em empresa agropecuária, pesqueira , aqüícola e florestal",122,Diretores De Produção E Operações                                                                                                 ,12,Dirigentes De Empresas E Organizações (Exceto De Interesse Público)                                                               ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
122205,"Diretor De Produção E Operações Da Indústria De Transformação, Extração Mineral E Utilidades",1222,"Diretores de produção e operações em empresa da indústria extrativa, transformação e de serviços de utilidade pública",122,Diretores De Produção E Operações                                                                                                 ,12,Dirigentes De Empresas E Organizações (Exceto De Interesse Público)                                                               ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
122305,Diretor De Operações De Obras Pública E Civil,1223,Diretores de operações de obras em empresa de construção,122,Diretores De Produção E Operações                                                                                                 ,12,Dirigentes De Empresas E Organizações (Exceto De Interesse Público)                                                               ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
122405,Diretor De Operações Comerciais (Comércio Atacadista E Varejista),1224,Diretores de operações em empresa do comércio,122,Diretores De Produção E Operações                                                                                                 ,12,Dirigentes De Empresas E Organizações (Exceto De Interesse Público)                                                               ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
122510,Diretor De  Produção E Operações De Hotel,1225,"Diretores de serviços de turismo, de alojamento e de alimentação",122,Diretores De Produção E Operações                                                                                                 ,12,Dirigentes De Empresas E Organizações (Exceto De Interesse Público)                                                               ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
122515,Diretor De  Produção E Operações De Turismo,1225,"Diretores de serviços de turismo, de alojamento e de alimentação",122,Diretores De Produção E Operações                                                                                                 ,12,Dirigentes De Empresas E Organizações (Exceto De Interesse Público)                                                               ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
122505,Diretor De  Produção E Operações De Alimentação,1225,"Diretores de serviços de turismo, de alojamento e de alimentação",122,Diretores De Produção E Operações                                                                                                 ,12,Dirigentes De Empresas E Organizações (Exceto De Interesse Público)                                                               ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
122520,Turismólogo,1225,"Diretores de serviços de turismo, de alojamento e de alimentação",122,Diretores De Produção E Operações                                                                                                 ,12,Dirigentes De Empresas E Organizações (Exceto De Interesse Público)                                                               ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
122610,Diretor De Operações De Serviços De Armazenamento,1226,"Diretores de operações de serviços em empresa de armazenamento, de transporte e de telecomunicação",122,Diretores De Produção E Operações                                                                                                 ,12,Dirigentes De Empresas E Organizações (Exceto De Interesse Público)                                                               ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
122605,Diretor De Operações De Correios,1226,"Diretores de operações de serviços em empresa de armazenamento, de transporte e de telecomunicação",122,Diretores De Produção E Operações                                                                                                 ,12,Dirigentes De Empresas E Organizações (Exceto De Interesse Público)                                                               ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
122615,Diretor De Operações De Serviços De Telecomunicações,1226,"Diretores de operações de serviços em empresa de armazenamento, de transporte e de telecomunicação",122,Diretores De Produção E Operações                                                                                                 ,12,Dirigentes De Empresas E Organizações (Exceto De Interesse Público)                                                               ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
122620,Diretor De Operações De Serviços De Transporte,1226,"Diretores de operações de serviços em empresa de armazenamento, de transporte e de telecomunicação",122,Diretores De Produção E Operações                                                                                                 ,12,Dirigentes De Empresas E Organizações (Exceto De Interesse Público)                                                               ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
122745,Diretor De Mercado De Capitais,1227,Diretores de operações de serviços em instituição de intermediação financeira,122,Diretores De Produção E Operações                                                                                                 ,12,Dirigentes De Empresas E Organizações (Exceto De Interesse Público)                                                               ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
122750,Diretor De Recuperação De Créditos Em Operações De Intermediação Financeira,1227,Diretores de operações de serviços em instituição de intermediação financeira,122,Diretores De Produção E Operações                                                                                                 ,12,Dirigentes De Empresas E Organizações (Exceto De Interesse Público)                                                               ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
122710,Diretor De Produtos Bancários,1227,Diretores de operações de serviços em instituição de intermediação financeira,122,Diretores De Produção E Operações                                                                                                 ,12,Dirigentes De Empresas E Organizações (Exceto De Interesse Público)                                                               ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
122715,Diretor De Crédito Rural,1227,Diretores de operações de serviços em instituição de intermediação financeira,122,Diretores De Produção E Operações                                                                                                 ,12,Dirigentes De Empresas E Organizações (Exceto De Interesse Público)                                                               ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
122735,Diretor De Crédito Imobiliário,1227,Diretores de operações de serviços em instituição de intermediação financeira,122,Diretores De Produção E Operações                                                                                                 ,12,Dirigentes De Empresas E Organizações (Exceto De Interesse Público)                                                               ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
122720,Diretor De Câmbio E Comércio Exterior,1227,Diretores de operações de serviços em instituição de intermediação financeira,122,Diretores De Produção E Operações                                                                                                 ,12,Dirigentes De Empresas E Organizações (Exceto De Interesse Público)                                                               ,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
