date,cat,net_jobs
2024-02-01,top_10,87853
2024-02-01,top_10_aug,84674
2024-02-01,top_10_aut,115236
2024-03-01,bottom_10,204625
2024-03-01,top_10,42503
2024-03-01,top_10_aug,42833
2024-03-01,top_10_aut,47660
2024-04-01,bottom_10,219129
2024-04-01,top_10,32085
2024-04-01,top_10_aug,32036
2024-04-01,top_10_aut,31544
2024-05-01,bottom_10,124571
2024-05-01,top_10,16801
2024-05-01,top_10_aug,15937
2024-05-01,top_10_aut,15837
2024-06-01,bottom_10,193249
2024-06-01,top_10,7258
2024-06-01,top_10_aug,6801
2024-06-01,top_10_aut,5972
2024-07-01,bottom_10,168922
2024-07-01,top_10,6181
2024-07-01,top_10_aug,8000
2024-07-01,top_10_aut,-1548
2024-08-01,bottom_10,178479
2024-08-01,top_10,37706
2024-08-01,top_10_aug,37367
2024-08-01,top_10_aut,42534
